COL1,COL2,COL3,COL4
il,arriva,chez,nous
arriva,chez,nous,un
chez,nous,un,dimanche
nous,un,dimanche,de
un,dimanche,de,novembre
dimanche,de,novembre,je
de,novembre,je,continue
novembre,je,continue,à
je,continue,à,dire
continue,à,dire,chez
à,dire,chez,nous
dire,chez,nous,bien
chez,nous,bien,que
nous,bien,que,la
bien,que,la,maison
que,la,maison,ne
la,maison,ne,nous
maison,ne,nous,appartienne
ne,nous,appartienne,plus
nous,appartienne,plus,nous
appartienne,plus,nous,avons
plus,nous,avons,quitté
nous,avons,quitté,le
avons,quitté,le,pays
quitté,le,pays,depuis
le,pays,depuis,bientôt
pays,depuis,bientôt,quinze
depuis,bientôt,quinze,ans
bientôt,quinze,ans,et
quinze,ans,et,nous
ans,et,nous,n
et,nous,n,y
nous,n,y,reviendrons
n,y,reviendrons,certainement
y,reviendrons,certainement,jamais
reviendrons,certainement,jamais,nous
certainement,jamais,nous,habitions
jamais,nous,habitions,les
nous,habitions,les,bâtiments
habitions,les,bâtiments,du
les,bâtiments,du,cour
bâtiments,du,cour,supérieur
du,cour,supérieur,de
cour,supérieur,de,sainte-agathe
supérieur,de,sainte-agathe,mon
de,sainte-agathe,mon,père
sainte-agathe,mon,père,que
mon,père,que,j
père,que,j,appelais
que,j,appelais,m
j,appelais,m,seurel
appelais,m,seurel,comme
m,seurel,comme,les
seurel,comme,les,autres
comme,les,autres,élèves
les,autres,élèves,y
autres,élèves,y,dirigeait
élèves,y,dirigeait,à
y,dirigeait,à,la
dirigeait,à,la,fois
à,la,fois,le
la,fois,le,cours
fois,le,cours,supérieur
le,cours,supérieur,où
cours,supérieur,où,l
supérieur,où,l,on
où,l,on,préparait
l,on,préparait,le
on,préparait,le,brevet
préparait,le,brevet,d
le,brevet,d,instituteur
brevet,d,instituteur,et
d,instituteur,et,le
instituteur,et,le,cours
et,le,cours,moyen
le,cours,moyen,ma
cours,moyen,ma,mère
moyen,ma,mère,faisait
ma,mère,faisait,la
mère,faisait,la,petite
faisait,la,petite,classe
la,petite,classe,une
petite,classe,une,longue
classe,une,longue,maison
une,longue,maison,rouge
longue,maison,rouge,avec
maison,rouge,avec,cinq
rouge,avec,cinq,portes
avec,cinq,portes,vitrées
cinq,portes,vitrées,sous
portes,vitrées,sous,des
vitrées,sous,des,vignes
sous,des,vignes,vierges
des,vignes,vierges,à
vignes,vierges,à,l
vierges,à,l,extrémité
à,l,extrémité,du
l,extrémité,du,bourg
extrémité,du,bourg,une
du,bourg,une,cour
bourg,une,cour,immense
une,cour,immense,avec
cour,immense,avec,préaux
immense,avec,préaux,et
avec,préaux,et,buanderie
préaux,et,buanderie,qui
et,buanderie,qui,ouvrait
buanderie,qui,ouvrait,en
qui,ouvrait,en,avant
ouvrait,en,avant,sur
en,avant,sur,le
avant,sur,le,village
sur,le,village,par
le,village,par,un
village,par,un,grand
par,un,grand,portail
un,grand,portail,sur
grand,portail,sur,le
portail,sur,le,côté
sur,le,côté,nord
le,côté,nord,la
côté,nord,la,route
nord,la,route,où
